CODE	EN	Code-8digits
03000000-1	Agricultural, farming, fishing, forestry and related products	03000000
03100000-2	Agricultural and horticultural products	03100000
03110000-5	Crops, products of market gardening and horticulture	03110000
03111000-2	Seeds	03111000
03111100-3	Soya beans	03111100
03111200-4	Peanuts	03111200
03111300-5	Sunflower seeds	03111300
03111400-6	Cotton seeds	03111400
03111500-7	Sesame seeds	03111500
03111600-8	Mustard seeds	03111600
03111700-9	Vegetable seeds	03111700
03111800-0	Fruit seeds	03111800
03111900-1	Flower seeds	03111900
03112000-9	Unmanufactured tobacco	03112000
03113000-6	Plants used for sugar manufacturing	03113000
03113100-7	Sugar beet	03113100
03113200-8	Sugar cane	03113200
03114000-3	Straw and forage	03114000
03114100-4	Straw	03114100
03114200-5	Forage	03114200
03115000-0	Raw vegetable materials	03115000
03115100-1	Raw vegetable materials used in textile production	03115100
03115110-4	Cotton	03115110
03115120-7	Jute	03115120
03115130-0	Flax	03115130
03116000-7	Natural rubber and latex, and associated products	03116000
03116100-8	Natural rubber	03116100
03116200-9	Natural latex	03116200
03116300-0	Latex products	03116300
03117000-4	Plants used in specific fields	03117000
03117100-5	Plants used in perfumery or pharmacy, or for insecticidal or similar purposes	03117100
03117110-8	Plants used in perfumery	03117110
03117120-1	Plants used in pharmacy	03117120
03117130-4	Plants used for insecticidal purposes	03117130
03117140-7	Plants used for fungicidal or similar purposes	03117140
03117200-6	Seeds of plants used in specific fields	03117200
03120000-8	Horticultural and nursery products	03120000
03121000-5	Horticultural products	03121000
03121100-6	Live plants, bulbs, roots, cuttings and slips	03121100
03121200-7	Cut flowers	03121200
03121210-0	Floral arrangements	03121210
03130000-1	Beverage and spice crops	03130000
03131000-8	Beverage crops	03131000
03131100-9	Coffee beans	03131100
03131200-0	Tea bushes	03131200
03131300-1	Maté	03131300
03131400-2	Cocoa beans	03131400
03132000-5	Unprocessed spices	03132000
03140000-4	Animal products and related products	03140000
03141000-1	Bulls' semen	03141000
03142000-8	Animal products	03142000
03142100-9	Natural honey	03142100
03142200-0	Snails	03142200
03142300-1	Edible products of animal origin	03142300
03142400-2	Waxes	03142400
03142500-3	Eggs	03142500
03143000-5	Products of mixed farming	03143000
03144000-2	Agricultural supplies	03144000
03200000-3	Cereals, potatoes, vegetables, fruits and nuts	03200000
03210000-6	Cereals and potatoes	03210000
03211000-3	Cereals	03211000
03211100-4	Wheat	03211100
03211110-7	Durum wheat	03211110
03211120-0	Soft wheat	03211120
03211200-5	Maize	03211200
03211300-6	Rice	03211300
03211400-7	Barley	03211400
03211500-8	Rye	03211500
03211600-9	Oats	03211600
03211700-0	Malt	03211700
03211900-2	Grain products	03211900
03212000-0	Potatoes and dried vegetables	03212000
03212100-1	Potatoes	03212100
03212200-2	Dried leguminous vegetables and pulses	03212200
03212210-5	Dried leguminous vegetables	03212210
03212211-2	Lentils	03212211
03212212-9	Chick peas	03212212
03212213-6	Dried peas	03212213
03212220-8	Pulses	03212220
03220000-9	Vegetables, fruits and nuts	03220000
03221000-6	Vegetables	03221000
03221100-7	Root and tuber vegetables	03221100
03221110-0	Root vegetables	03221110
03221111-7	Beetroot	03221111
03221112-4	Carrots	03221112
03221113-1	Onions	03221113
03221114-8	Turnips	03221114
03221120-3	Tuber vegetables	03221120
03221200-8	Fruit vegetables	03221200
03221210-1	Beans	03221210
03221211-8	Broad beans	03221211
03221212-5	Green beans	03221212
03221213-2	Runner beans	03221213
03221220-4	Peas	03221220
03221221-1	Garden peas	03221221
03221222-8	Mange-tout	03221222
03221230-7	Peppers	03221230
03221240-0	Tomatoes	03221240
03221250-3	Courgettes	03221250
03221260-6	Mushrooms	03221260
03221270-9	Cucumbers	03221270
03221300-9	Leaf vegetables	03221300
03221310-2	Lettuce	03221310
03221320-5	Salad leaves	03221320
03221330-8	Artichokes	03221330
03221340-1	Spinach	03221340
03221400-0	Cabbage vegetables	03221400
03221410-3	Cabbage	03221410
03221420-6	Cauliflower	03221420
03221430-9	Broccoli	03221430
03221440-2	Brussels sprouts	03221440
03222000-3	Fruit and nuts	03222000
03222100-4	Tropical fruit and nuts	03222100
03222110-7	Tropical fruit	03222110
03222111-4	Bananas	03222111
03222112-1	Pineapples	03222112
03222113-8	Mangoes	03222113
03222114-5	Dates	03222114
03222115-2	Raisins	03222115
03222116-9	Figs	03222116
03222117-6	Avocados	03222117
03222118-3	Kiwi fruit	03222118
03222120-0	Coconuts	03222120
03222200-5	Citrus fruit	03222200
03222210-8	Lemons	03222210
03222220-1	Oranges	03222220
03222230-4	Grapefruit	03222230
03222240-7	Tangerines	03222240
03222250-0	Limes	03222250
03222300-6	Non-tropical fruit	03222300
03222310-9	Berry fruit	03222310
03222311-6	Currants	03222311
03222312-3	Gooseberries	03222312
03222313-0	Strawberries	03222313
03222314-7	Raspberries	03222314
03222315-4	Cranberries	03222315
03222320-2	Apples, pears and quinces	03222320
03222321-9	Apples	03222321
03222322-6	Pears	03222322
03222323-3	Quinces	03222323
03222330-5	Stone fruit	03222330
03222331-2	Apricots	03222331
03222332-9	Peaches	03222332
03222333-6	Cherries	03222333
03222334-3	Plums	03222334
03222340-8	Grapes	03222340
03222341-5	Table grapes	03222341
03222342-2	Wine grapes	03222342
03222400-7	Olives	03222400
03300000-2	Farming, hunting and fishing products	03300000
03310000-5	Fish, crustaceans and aquatic products	03310000
03311000-2	Fish	03311000
03311100-3	Flat fish	03311100
03311110-6	Sole	03311110
03311120-9	Plaice	03311120
03311200-4	Fish of the cod family	03311200
03311210-7	Cod	03311210
03311220-0	Pollock	03311220
03311230-3	Hake	03311230
03311240-6	Haddock	03311240
03311300-5	Herring	03311300
03311400-6	Tuna	03311400
03311500-7	Whiting	03311500
03311600-8	Whitebait	03311600
03311700-9	Salmon	03311700
03312000-9	Crustaceans	03312000
03312100-0	Oysters	03312100
03312200-1	Shellfish	03312200
03312300-2	Aquatic invertebrates	03312300
03313000-6	Aquatic products	03313000
03313100-7	Corals or similar products	03313100
03313200-8	Natural sponges	03313200
03313300-9	Seaweeds	03313300
03313310-2	Algae	03313310
03320000-8	Cattle, livestock and small animals	03320000
03321000-5	Cattle	03321000
03321100-6	Bovine cattle	03321100
03321200-7	Calves	03321200
03322000-2	Livestock	03322000
03322100-3	Sheep	03322100
03322200-4	Goats	03322200
03322300-5	Horses	03322300
03323000-9	Pigs	03323000
03324000-6	Live poultry	03324000
03325000-3	Small animals	03325000
03325100-4	Rabbits	03325100
03325200-5	Hares	03325200
03330000-3	Farm animal products	03330000
03331000-0	Fresh milk from sheep and goats	03331000
03331100-1	Sheep's milk	03331100
03331200-2	Goats' milk	03331200
03332000-7	Wool and animal hair	03332000
03332100-8	Shorn wool	03332100
03332200-9	Animal hair	03332200
03333000-4	Fresh cows' milk	03333000
03340000-6	Animal ear tags	03340000
03341000-3	Bovine ear tags	03341000
03400000-4	Forestry and logging products	03400000
03410000-7	Wood	03410000
03411000-4	Coniferous wood	03411000
03412000-1	Tropical wood	03412000
03413000-8	Fuel wood	03413000
03414000-5	Rough wood	03414000
03415000-2	Softwood	03415000
03416000-9	Wood waste	03416000
03417000-6	Scrap wood	03417000
03417100-7	Sawdust	03417100
03418000-3	Logs	03418000
03418100-4	Hardwood	03418100
03419000-0	Timber	03419000
03419100-1	Timber products	03419100
03419200-2	Mining timber	03419200
03420000-0	Gums	03420000
03421000-7	Balsams	03421000
03422000-4	Lac	03422000
03430000-3	Cork	03430000
03431000-0	Natural cork	03431000
03432000-7	Basketware	03432000
03432100-8	Wickerwork	03432100
03440000-6	Forestry products	03440000
03441000-3	Ornamental plants, grasses, mosses or lichens	03441000
03450000-9	Tree-nursery products	03450000
03451000-6	Plants	03451000
03451100-7	Bedding plants	03451100
03451200-8	Flower bulbs	03451200
03451300-9	Shrubs	03451300
03452000-3	Trees	03452000
03460000-2	Pulp	03460000
03461000-9	Wood pulp	03461000
03461100-0	Chemical wood pulp	03461100
09000000-3	Petroleum products, fuel, electricity and other sources of energy	09000000
09100000-0	Fuels	09100000
09110000-3	Solid fuels	09110000
09111000-0	Coal and coal-based fuels	09111000
09111100-1	Coal	09111100
09111200-2	Coal-based fuels	09111200
09111210-5	Hard coal	09111210
09111220-8	Briquettes	09111220
09111300-3	Fossil fuels	09111300
09111400-4	Wood fuels	09111400
09112000-7	Lignite and peat	09112000
09112100-8	Lignite	09112100
09112200-9	Peat	09112200
09113000-4	Coke	09113000
09120000-6	Gaseous fuels	09120000
09121000-3	Coal gas, mains gas or similar gases	09121000
09121100-4	Coal gas or similar gases	09121100
09121200-5	Mains gas	09121200
09122000-0	Propane and butane	09122000
09122100-1	Propane gas	09122100
09122110-4	Liquefied propane gas	09122110
09122200-2	Butane gas	09122200
09122210-5	Liquefied butane gas	09122210
09123000-7	Natural gas	09123000
09130000-9	Petroleum and distillates	09130000
09131000-6	Aviation kerosene	09131000
09131100-7	Kerosene jet type fuels	09131100
09132000-3	Petrol	09132000
09132100-4	Unleaded petrol	09132100
09132200-5	Leaded petrol	09132200
09132300-6	Petrol with ethanol	09132300
09133000-0	Liquefied Petroleum Gas (LPG)	09133000
09134000-7	Gas oils	09134000
09134100-8	Diesel oil	09134100
09134200-9	Diesel fuel	09134200
09134210-2	Diesel fuel (0,2)	09134210
09134220-5	Diesel fuel (EN 590)	09134220
09134230-8	Biodiesel	09134230
09134231-5	Biodiesel (B20)	09134231
09134232-2	Biodiesel (B100)	09134232
09135000-4	Fuel oils	09135000
09135100-5	Heating oil	09135100
09135110-8	Low-sulphur combustible oils	09135110
09200000-1	Petroleum, coal and oil products	09200000
09210000-4	Lubricating preparations	09210000
09211000-1	Lubricating oils and lubricating agents	09211000
09211100-2	Motor oils	09211100
09211200-3	Compressor lube oils	09211200
09211300-4	Turbine lube oils	09211300
09211400-5	Gear oils	09211400
09211500-6	Reductor oils	09211500
09211600-7	Oils for use in hydraulic systems and other purposes	09211600
09211610-0	Liquids for hydraulic purposes	09211610
09211620-3	Mould release oils	09211620
09211630-6	Anti-corrosion oils	09211630
09211640-9	Electrical insulating oils	09211640
09211650-2	Brake fluids	09211650
09211700-8	White oils and liquid paraffin	09211700
09211710-1	White oils	09211710
09211720-4	Liquid paraffin	09211720
09211800-9	Petroleum oils and preparations	09211800
09211810-2	Light oils	09211810
09211820-5	Petroleum oils	09211820
09211900-0	Lubricating traction oils	09211900
09220000-7	Petroleum jelly, waxes and special spirits	09220000
09221000-4	Petroleum jelly and waxes	09221000
09221100-5	Petroleum jelly	09221100
09221200-6	Paraffin wax	09221200
09221300-7	Petroleum wax	09221300
09221400-8	Petroleum residues	09221400
09222000-1	Special spirits	09222000
09222100-2	White spirit	09222100
09230000-0	Petroleum (crude)	09230000
09240000-3	Oil and coal-related products	09240000
09241000-0	Bituminous or oil shale	09241000
09242000-7	Coal-related products	09242000
09242100-8	Coal oil	09242100
09300000-2	Electricity, heating, solar and nuclear energy	09300000
09310000-5	Electricity	09310000
09320000-8	Steam, hot water and associated products	09320000
09321000-5	Hot water	09321000
09322000-2	Steam	09322000
09323000-9	District heating	09323000
09324000-6	Long-distance heating	09324000
09330000-1	Solar energy	09330000
09331000-8	Solar panels	09331000
09331100-9	Solar collectors for heat production	09331100
09331200-0	Solar photovoltaic modules	09331200
09332000-5	Solar installation	09332000
09340000-4	Nuclear fuels	09340000
09341000-1	Uranium	09341000
09342000-8	Plutonium	09342000
09343000-5	Radioactive materials	09343000
09344000-2	Radio-isotopes	09344000
14000000-1	Mining, basic metals and related products	14000000
14200000-3	Sand and clay	14200000
14210000-6	Gravel, sand, crushed stone and aggregates	14210000
14211000-3	Sand	14211000
14211100-4	Natural sand	14211100
14212000-0	Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sand-gravel mixtures and other aggregates	14212000
14212100-1	Pebbles and gravel	14212100
14212110-4	Pebbles	14212110
14212120-7	Gravel	14212120
14212200-2	Aggregates	14212200
14212210-5	Sand-gravel mix	14212210
14212300-3	Broken and crushed stone	14212300
14212310-6	Ballast	14212310
14212320-9	Crushed granite	14212320
14212330-2	Crushed basalt	14212330
14212400-4	Soil	14212400
14212410-7	Topsoil	14212410
14212420-0	Subsoil	14212420
14212430-3	Stone chippings	14212430
14213000-7	Macadam, tarmac and tar sands	14213000
14213100-8	Macadam	14213100
14213200-9	Tarmac	14213200
14213300-0	Tar sands	14213300
14220000-9	Clay and kaolin	14220000
14221000-6	Clay	14221000
14222000-3	Kaolin	14222000
14300000-4	Chemical and fertiliser minerals	14300000
14310000-7	Fertiliser minerals	14310000
14311000-4	Natural calcium, aluminium calcium phosphate and crude natural potassium salts	14311000
14311100-5	Natural calcium	14311100
14311200-6	Aluminium calcium phosphates	14311200
14311300-7	Crude natural potassium salts	14311300
14312000-1	Iron pyrites	14312000
14312100-2	Unroasted iron pyrites	14312100
14320000-0	Chemical minerals	14320000
14400000-5	Salt and pure sodium chloride	14400000
14410000-8	Rock salt	14410000
14420000-1	Sea salt	14420000
14430000-4	Evaporated salt and pure sodium chloride	14430000
14450000-0	Salt in brine	14450000
14500000-6	Related mining and quarrying products	14500000
14520000-2	Precious and semi-precious stones, pumice stone, emery, natural abrasives, other minerals and precious metals	14520000
14521000-9	Precious and semi-precious stones	14521000
14521100-0	Precious stones	14521100
14521140-2	Dust or powder of precious stones	14521140
14521200-1	Semi-precious stones	14521200
14521210-4	Dust or powder of semi-precious stones	14521210
14522000-6	Industrial diamonds, pumice stone, emery and other natural abrasives	14522000
14522100-7	Pumice stone	14522100
14522200-8	Industrial diamonds	14522200
14522300-9	Emery	14522300
14522400-0	Natural abrasives	14522400
14523000-3	Related minerals, precious metals and associated products	14523000
14523100-4	Minerals	14523100
14523200-5	Gold	14523200
14523300-6	Silver	14523300
14523400-7	Platinum	14523400
14600000-7	Metal ores and alloys	14600000
14610000-0	Metal ores	14610000
14611000-7	Iron ores	14611000
14612000-4	Non-ferrous metal ores	14612000
14612100-5	Copper ores	14612100
14612200-6	Nickel ores	14612200
14612300-7	Aluminium ores	14612300
14612400-8	Precious-metal ores	14612400
14612500-9	Lead ores	14612500
14612600-0	Zinc ores	14612600
14612700-1	Tin ores	14612700
14613000-1	Uranium and thorium ores	14613000
14613100-2	Uranium ores	14613100
14613200-3	Thorium ores	14613200
14614000-8	Miscellaneous ores	14614000
14620000-3	Alloys	14620000
14621000-0	Ferro-alloys	14621000
14621100-1	Non-ECSC ferro-alloys	14621100
14621110-4	Ferro-manganese	14621110
14621120-7	Ferro-chromium	14621120
14621130-0	Ferro-nickel	14621130
14622000-7	Steel	14622000
14630000-6	Slag, dross, ferrous waste and scrap	14630000
14700000-8	Basic metals	14700000
14710000-1	Iron, lead, zinc, tin and copper	14710000
14711000-8	Iron	14711000
14711100-9	Pig iron	14711100
14712000-5	Lead	14712000
14713000-2	Zinc	14713000
